metric,value
stage1_count_after_core_filters,755.0
collected_universe_size,2000.0
alpha_factor_spec,v2
forensic_gate_beneish_threshold,-1.4
large_universe_forensic_mode,1.0
share_passes_size,0.8622516556291391
share_passes_trend_gate,0.5774834437086093
share_passes_quality_gate,0.7192052980132451
share_passes_forensic_gate,1.0
share_passes_factor_gate,0.9894039735099338
share_passes_momentum_gate,1.0
share_passes_biotech_gate,0.9390728476821192
median_factor_non_null_count,3.0
median_factor_positive_count,3.0
share_binary_biotech_flag,0.060927152317880796
share_pead_has_setup_coverage,0.9324503311258279
share_sue_has_coverage,0.9629139072847682
share_revision_impulse_has_coverage,0.9231788079470199
share_revision_jerk_has_coverage,0.9231788079470199
share_estimate_term_structure_has_coverage,0.9337748344370861
share_revenue_growth_has_coverage,0.9801324503311258
share_residual_value_has_coverage,0.0
share_compounder_persistence_has_coverage,0.0
share_peer_relative_anomaly_has_coverage,0.1727152317880795
share_price_momentum_has_coverage,0.0
share_price_momentum_signal_coverage,1.0
share_price_momentum_proxy_used,1.0
share_sentiment_has_coverage,0.0
share_news_has_coverage,0.11788079470198676
share_news_shock_has_coverage,0.6971302428256071
share_capital_allocation_quality_has_coverage,0.8242825607064017
share_recovery_transition_has_coverage,0.03777483443708609
share_investment_restraint_has_coverage,0.9721854304635762
share_accrual_quality_has_coverage,0.9748344370860927
share_quality_acceleration_has_coverage,0.9879470198675496
share_insider_conviction_has_coverage,0.42251655629139073
share_news_theme_drift_has_coverage,0.8582781456953642
share_working_capital_stress_has_coverage,0.8916556291390727
share_analysis_identity_mismatch,0.0
share_analysis_resolution_error,0.0
share_sentiment_fetch_error,0.0
share_news_fetch_error,0.0
share_news_theme_drift_fetch_error,0.0
share_insider_fetch_error,0.0
share_price_history_fetch_error,1.0
share_beneish_is_missing,0.0
share_beneish_is_pathological_clipped,0.0
share_intangible_adjustment_eligible,0.5337748344370861
share_intangible_adjustment_applied,0.5337748344370861
median_revenue_per_employee,451995.44937428896
median_gross_profit_per_employee,178391.81818181818
median_piotroski_score,5.0
median_beneish_m_score,
median_accrual_volatility,
median_pead_signal,0.0
median_pead_revision_component,-0.00027069904500871096
median_sue_signal,0.29914100659439186
median_sue_surprise_pct,4.6154
median_revision_impulse_signal,0.013858955197599767
median_revision_jerk_signal,0.025
median_revision_impulse_analyst_count,6.0
median_revision_impulse_disagreement_penalty,0.0922049441786284
median_revision_short_divergence_component,-0.39018570811993186
median_revision_breadth_7d,
median_revision_breadth_30d,0.0
median_revision_breadth_acceleration,
median_float_absorption_signal,0.4287100953565506
median_squeeze_convexity_signal,
median_short_interest_shares,3670531.0
median_short_interest_shares_prev,3688715.0
median_short_interest_ratio,3.57
median_short_interest_pct_float,0.0506
median_short_interest_pct_outstanding,0.0506
median_short_interest_change,0.03019369843409225
median_estimate_term_structure_signal,-0.04087568576204936
median_estimate_term_structure_record_count,4.0
median_estimate_term_structure_disagreement_trend,0.0
median_estimate_term_structure_overlap_penalty,0.506183206323884
median_revenue_growth_yoy,0.0658279157002809
median_revenue_acceleration,0.0014732512177384471
median_percent_institutions,0.8632899999999999
median_institution_holder_count_latest,14.0
median_institution_holder_count_prev,6.0
median_institutional_breadth_delta,1.3333333333333333
median_institutional_ownership_from_holders,0.35460600000000003
median_institutional_ownership_delta,0.14505249999999997
median_institutional_top5_concentration_delta,0.05485049999999998
median_share_drift_1q,0.0
median_share_drift_4q,-0.0011310640928494063
median_share_drift_persistence,0.5
median_receivables_days,51.21848567015006
median_receivables_days_prev,52.10732961237616
median_receivables_days_delta,-0.4319225067487797
median_inventory_days,64.73934447338966
median_inventory_days_prev,71.97520999746038
median_inventory_days_delta,-1.6325047448422048
median_payables_days,43.30313620895797
median_payables_days_prev,44.23637714683871
median_payables_days_delta,-0.7530626394893076
median_cash_conversion_cycle_days,67.81653360913342
median_cash_conversion_cycle_days_prev,70.68965903256057
median_cash_conversion_cycle_days_delta,-1.4570396338514016
median_cash_conversion_cycle_convexity,-0.4832355278335605
median_residual_value_signal,
median_compounder_persistence_signal,
median_compounder_persistence_measure_count,0.0
median_price_momentum_6m_ex_1m,
median_price_momentum_effective_signal,-0.031139657290461087
median_sentiment_article_count_recent,
median_news_event_signal,0.467454602094743
median_news_event_effective_signal,0.4780349051477162
median_news_event_breadth,2.0
median_news_article_count_recent,3.0
median_news_baseline_signal,0.4117198510333363
median_news_baseline_article_count,7.0
median_news_article_volume_spike,0.6666666666666666
median_news_novelty_score,1.0
median_news_saturation_score,0.5
median_news_shock_signal,0.02486312504901155
median_news_peer_spillover_signal,0.0
median_news_confirmation_signal,0.0
median_news_macro_multiplier,1.0
median_news_theme_drift_signal,-0.06053160361127073
median_news_theme_drift_recent_intensity,0.15163288493081534
median_news_theme_drift_baseline_intensity,0.1727253599141978
median_capital_allocation_quality_signal,0.13472712018689947
median_investment_restraint_signal,-0.205675370849697
median_investment_restraint_measure_count,6.0
median_accrual_quality_signal,0.11120758967467696
median_accrual_quality_measure_count,8.0
median_quality_acceleration_signal,0.026975708310786925
median_quality_acceleration_measure_count,6.0
median_peer_ownership_breadth_input,0.36775166666666653
median_recovery_margin_inflection,-0.006200537517843385
median_recovery_leverage_improvement,0.0009771927162193564
median_recovery_transition_signal,0.14640886660836386
median_insider_conviction_signal,0.0
median_insider_ownership_confirmation_component,0.06372033333333332
median_insider_short_crowding_penalty,0.012534115467736957
median_working_capital_stress_penalty,0.014086050313932902
median_working_capital_cycle_stress,0.07102527146237599
median_accrual_quality_cycle_convexity,-0.3706069751855381
median_financing_dependency_stress,0.0
median_financing_dependency_burn_component,0.0
median_financing_dependency_dilution_component,0.005697920871697416
median_financing_dependency_debt_component,0.0025036950332800985
median_financing_dependency_revision_component,0.0
median_capital_allocation_financing_dependency_component,-0.0
median_earnings_signal_confidence,1.0
median_revision_signal_confidence,0.9695913134664633
median_revision_jerk_signal_confidence,0.954386970199695
median_estimate_term_structure_signal_confidence,0.8228358777866406
median_growth_signal_confidence,1.0
median_momentum_signal_confidence,0.865
median_news_signal_confidence,0.9333333333333333
median_news_shock_signal_confidence,0.7592649647887324
median_capital_allocation_signal_confidence,0.95
median_residual_value_signal_confidence,0.0
median_compounder_persistence_signal_confidence,0.0
median_recovery_transition_signal_confidence,0.0
median_investment_restraint_signal_confidence,1.0
median_accrual_quality_signal_confidence,1.0
median_quality_acceleration_signal_confidence,1.0
median_insider_conviction_signal_confidence,0.35766717873586273
median_news_theme_drift_signal_confidence,0.8314888164026095
median_effective_core_share,0.41169875010995444
median_effective_optional_share,0.5883012498900455
median_contrib_shareholder_yield,-0.004325052057291778
median_contrib_gross_profitability,-0.01282366302980276
median_contrib_adjusted_book_to_market,-0.048787091789577006
median_contrib_residual_value,0.0
median_contrib_compounder_persistence,0.0
median_contrib_earnings,0.0
median_contrib_revision_impulse,0.0
median_contrib_revision_jerk,0.0
median_contrib_estimate_term_structure,-0.0
median_contrib_growth,0.0006087493219807381
median_contrib_momentum,-0.012057037007333453
median_contrib_news_event,0.0
median_contrib_news_shock,0.0
median_contrib_capital_allocation,-0.0005001197230667156
median_contrib_recovery_transition,0.0
median_contrib_investment_restraint,0.0011832090882561929
median_contrib_accrual_quality,0.0014711652423092334
median_contrib_quality_acceleration,0.0020708588352170965
median_contrib_insider_conviction,0.0
median_contrib_news_theme_drift,0.0
median_contrib_employee_efficiency,0.0
median_contrib_forensic,-0.0
life_cycle_share::unknown,0.8145695364238411
